QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
29,Divide Two Integers,divide-two-integers,Medium,18.411879151071222,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,33.00957393945799,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,43.09554805985905,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,36.353333021263836,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,42.86926865897939,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,46.86663511300587,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,49.048853057158155,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,62.30516803133304,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,63.9340213402641,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,60.54123481298901,False,string,algorithms
39,Combination Sum,combination-sum,Medium,74.71146701603887,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,57.70065209468178,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,41.10593802007622,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,65.1420114380921,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,42.31185217792023,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,29.9307140877781,False,"string,dynamic-programming,greedy,recursion",algorithms
45,Jump Game II,jump-game-ii,Medium,41.52874679582991,False,"array,dynamic-programming,greedy",algorithms
46,Permutations,permutations,Medium,80.68684593254966,False,"array,backtracking",algorithms
47,Permutations II,permutations-ii,Medium,61.62106309583508,False,"array,backtracking,sorting",algorithms
48,Rotate Image,rotate-image,Medium,77.93672487027243,False,"array,math,matrix",algorithms
49,Group Anagrams,group-anagrams,Medium,70.95457560182876,False,"array,hash-table,string,sorting",algorithms
50,"Pow(x, n)",powx-n,Medium,37.050326480867966,False,"math,recursion",algorithms
51,N-Queens,n-queens,Hard,72.87141853043512,False,"array,backtracking",algorithms
52,N-Queens II,n-queens-ii,Hard,76.75842343784636,False,backtracking,algorithms
53,Maximum Subarray,maximum-subarray,Medium,52.11629229354131,False,"array,divide-and-conquer,dynamic-programming",algorithms
54,Spiral Matrix,spiral-matrix,Medium,53.98473597633738,False,"array,matrix,simulation",algorithms
55,Jump Game,jump-game,Medium,39.50818954894979,False,"array,dynamic-programming,greedy",algorithms
56,Merge Intervals,merge-intervals,Medium,49.42246448248694,False,"array,sorting",algorithms
57,Insert Interval,insert-interval,Medium,43.50604206656944,False,array,algorithms
58,Length of Last Word,length-of-last-word,Easy,56.354090754506146,False,string,algorithms
59,Spiral Matrix II,spiral-matrix-ii,Medium,73.45173606146776,False,"array,matrix,simulation",algorithms
60,Permutation Sequence,permutation-sequence,Hard,49.98175191915015,False,"math,recursion",algorithms
61,Rotate List,rotate-list,Medium,39.97516012130365,False,"linked-list,two-pointers",algorithms
62,Unique Paths,unique-paths,Medium,65.78897368284157,False,"math,dynamic-programming,combinatorics",algorithms
63,Unique Paths II,unique-paths-ii,Medium,43.17669151771516,False,"array,dynamic-programming,matrix",algorithms
64,Minimum Path Sum,minimum-path-sum,Medium,66.51527441021214,False,"array,dynamic-programming,matrix",algorithms
65,Valid Number,valid-number,Hard,21.58200624711967,False,string,algorithms
66,Plus One,plus-one,Easy,47.5678686151912,False,"array,math",algorithms
67,Add Binary,add-binary,Easy,55.69977688912334,False,"math,string,bit-manipulation,simulation",algorithms
68,Text Justification,text-justification,Hard,48.194841903053806,False,"array,string,simulation",algorithms
69,Sqrt(x),sqrtx,Easy,40.38965048095173,False,"math,binary-search",algorithms
70,Climbing Stairs,climbing-stairs,Easy,53.54931894587204,False,"math,dynamic-programming,memoization",algorithms
71,Simplify Path,simplify-path,Medium,47.913542426580086,False,"string,stack",algorithms
72,Edit Distance,edit-distance,Medium,58.82032333303945,False,"string,dynamic-programming",algorithms
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,60.74769160607644,False,"array,hash-table,matrix",algorithms
74,Search a 2D Matrix,search-a-2d-matrix,Medium,52.31728881469992,False,"array,binary-search,matrix",algorithms
75,Sort Colors,sort-colors,Medium,67.61941891097074,False,"array,two-pointers,sorting",algorithms
76,Minimum Window Substring,minimum-window-substring,Hard,45.38781568181119,False,"hash-table,string,sliding-window",algorithms
77,Combinations,combinations,Medium,72.92467643944612,False,backtracking,algorithms
78,Subsets,subsets,Medium,80.90986275135653,False,"array,backtracking,bit-manipulation",algorithms
79,Word Search,word-search,Medium,45.30592900808165,False,"array,string,backtracking,depth-first-search,matrix",algorithms
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,62.93186299970861,False,"array,two-pointers",algorithms
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,38.89432427514398,False,"array,binary-search",algorithms
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,49.92298678457508,False,"linked-list,two-pointers",algorithms
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,54.90401018765467,False,linked-list,algorithms
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,47.43284454864485,False,"array,stack,monotonic-stack",algorithms
85,Maximal Rectangle,maximal-rectangle,Hard,53.776774036777894,False,"array,dynamic-programming,stack,matrix,monotonic-stack",algorithms
86,Partition List,partition-list,Medium,59.02265385454609,False,"linked-list,two-pointers",algorithms
87,Scramble String,scramble-string,Hard,42.2057695618827,False,"string,dynamic-programming",algorithms
88,Merge Sorted Array,merge-sorted-array,Easy,52.952977752035515,False,"array,two-pointers,sorting",algorithms
89,Gray Code,gray-code,Medium,61.90096196848391,False,"math,backtracking,bit-manipulation",algorithms
90,Subsets II,subsets-ii,Medium,59.542064592287524,False,"array,backtracking,bit-manipulation",algorithms
91,Decode Ways,decode-ways,Medium,36.5507962666085,False,"string,dynamic-programming",algorithms
92,Reverse Linked List II,reverse-linked-list-ii,Medium,49.623698462903896,False,linked-list,algorithms
93,Restore IP Addresses,restore-ip-addresses,Medium,53.2004801308592,False,"string,backtracking",algorithms
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,78.61964951884985,False,"stack,tree,depth-first-search,binary-tree",algorithms
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,60.43314066773318,False,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree",algorithms
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,62.463808129946216,False,"math,dynamic-programming,tree,binary-search-tree,binary-tree",algorithms
97,Interleaving String,interleaving-string,Medium,42.20235362439181,False,"string,dynamic-programming",algorithms
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,34.4022982618918,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,56.38105812967349,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
100,Same Tree,same-tree,Easy,65.16764044264252,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
101,Symmetric Tree,symmetric-tree,Easy,59.310892739942055,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,70.63404856252828,False,"tree,breadth-first-search,binary-tree",algorithms
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,61.72073848801427,False,"tree,breadth-first-search,binary-tree",algorithms
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,77.15862037345703,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,66.87682872621549,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,66.13513768512011,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,66.04180857855113,False,"tree,breadth-first-search,binary-tree",algorithms
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,74.09726225535104,False,"array,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,64.49759016928493,False,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
110,Balanced Binary Tree,balanced-binary-tree,Easy,55.384598527102945,False,"tree,depth-first-search,binary-tree",algorithms
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,50.70801974306017,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
112,Path Sum,path-sum,Easy,53.03820276630764,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
113,Path Sum II,path-sum-ii,Medium,60.52465996172819,False,"backtracking,tree,depth-first-search,binary-tree",algorithms
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,68.555880056081,False,"linked-list,stack,tree,depth-first-search,binary-tree",algorithms
115,Distinct Subsequences,distinct-subsequences,Hard,50.13349224404629,False,"string,dynamic-programming",algorithms
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,65.47308592624701,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,55.59973843343992,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
118,Pascal's Triangle,pascals-triangle,Easy,77.04597874711152,False,"array,dynamic-programming",algorithms
119,Pascal's Triangle II,pascals-triangle-ii,Easy,65.97277573367121,False,"array,dynamic-programming",algorithms
120,Triangle,triangle,Medium,59.33277394621948,False,"array,dynamic-programming",algorithms
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,55.284058104834635,False,"array,dynamic-programming",algorithms
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,69.52991806130615,False,"array,dynamic-programming,greedy",algorithms
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,51.184368321866856,False,"array,dynamic-programming",algorithms
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,41.2402392082093,False,"dynamic-programming,tree,depth-first-search,binary-tree",algorithms
125,Valid Palindrome,valid-palindrome,Easy,51.001234413194176,False,"two-pointers,string",algorithms
126,Word Ladder II,word-ladder-ii,Hard,27.15349492442715,False,"hash-table,string,backtracking,breadth-first-search",algorithms
127,Word Ladder,word-ladder,Hard,42.86876445609443,False,"hash-table,string,breadth-first-search",algorithms
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.03605899247699,False,"array,hash-table,union-find",algorithms
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,68.55435820955805,False,"tree,depth-first-search,binary-tree",algorithms
130,Surrounded Regions,surrounded-regions,Medium,42.92700465549471,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
131,Palindrome Partitioning,palindrome-partitioning,Medium,72.17294765822643,False,"string,dynamic-programming,backtracking",algorithms
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,35.29981749614566,False,"string,dynamic-programming",algorithms
133,Clone Graph,clone-graph,Medium,62.44557800083243,False,"hash-table,depth-first-search,breadth-first-search,graph",algorithms
134,Gas Station,gas-station,Medium,46.406156685804625,False,"array,greedy",algorithms
135,Candy,candy,Hard,46.739830001876264,False,"array,greedy",algorithms
136,Single Number,single-number,Easy,76.00099105008663,False,"array,bit-manipulation",algorithms
137,Single Number II,single-number-ii,Medium,65.26125630942367,False,"array,bit-manipulation",algorithms
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,60.5806763593158,False,"hash-table,linked-list",algorithms
139,Word Break,word-break,Medium,48.2896564918107,False,"array,hash-table,string,dynamic-programming,trie,memoization",algorithms
140,Word Break II,word-break-ii,Hard,53.67385472097514,False,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization",algorithms
141,Linked List Cycle,linked-list-cycle,Easy,52.60409558019317,False,"hash-table,linked-list,two-pointers",algorithms
142,Linked List Cycle II,linked-list-cycle-ii,Medium,54.992887163066996,False,"hash-table,linked-list,two-pointers",algorithms
143,Reorder List,reorder-list,Medium,62.55826443332884,False,"linked-list,two-pointers,stack,recursion",algorithms
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,73.28178253850294,False,"stack,tree,depth-first-search,binary-tree",algorithms
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,75.79235956744938,False,"stack,tree,depth-first-search,binary-tree",algorithms
146,LRU Cache,lru-cache,Medium,45.25310000014798,False,"hash-table,linked-list,design,doubly-linked-list",algorithms
147,Insertion Sort List,insertion-sort-list,Medium,56.49418345106484,False,"linked-list,sorting",algorithms
148,Sort List,sort-list,Medium,61.86015547167858,False,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort",algorithms
149,Max Points on a Line,max-points-on-a-line,Hard,28.9815295831417,False,"array,hash-table,math,geometry",algorithms
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,54.99257502968622,False,"array,math,stack",algorithms
151,Reverse Words in a String,reverse-words-in-a-string,Medium,52.00216197474843,False,"two-pointers,string",algorithms
152,Maximum Product Subarray,maximum-product-subarray,Medium,34.96170277599896,False,"array,dynamic-programming",algorithms
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,52.67507623163472,False,"array,binary-search",algorithms
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,44.11592791037506,False,"array,binary-search",algorithms
155,Min Stack,min-stack,Medium,56.478493076679904,False,"stack,design",algorithms
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,64.51429848847006,True,"tree,depth-first-search,binary-tree",algorithms
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,42.26144108549837,True,"array,simulation,interactive",algorithms
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,42.912370270614325,True,"array,simulation,interactive",algorithms
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,56.48776746381372,True,"hash-table,string,sliding-window",algorithms
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,61.18055791154068,False,"hash-table,linked-list,two-pointers",algorithms
161,One Edit Distance,one-edit-distance,Medium,34.47935603518747,True,"two-pointers,string",algorithms
162,Find Peak Element,find-peak-element,Medium,46.50839446964286,False,"array,binary-search",algorithms
163,Missing Ranges,missing-ranges,Easy,35.278088376364444,True,array,algorithms
164,Maximum Gap,maximum-gap,Medium,49.39624896065469,False,"array,sorting,bucket-sort,radix-sort",algorithms
165,Compare Version Numbers,compare-version-numbers,Medium,42.36944960002219,False,"two-pointers,string",algorithms
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,26.238804479940015,False,"hash-table,math,string",algorithms
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,63.428212298640986,False,"array,two-pointers,binary-search",algorithms
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,43.60915336780368,False,"math,string",algorithms
169,Majority Element,majority-element,Easy,65.74681790644283,False,"array,hash-table,divide-and-conquer,sorting,counting",algorithms
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,38.691680808777484,True,"array,hash-table,two-pointers,design,data-stream",algorithms
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,65.77798372468753,False,"math,string",algorithms
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,44.87185607778547,False,math,algorithms
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,74.90500533486635,False,"stack,tree,design,binary-search-tree,binary-tree,iterator",algorithms
174,Dungeon Game,dungeon-game,Hard,39.51117909133217,False,"array,dynamic-programming,matrix",algorithms
175,Combine Two Tables,combine-two-tables,Easy,78.09282251389381,False,database,database
176,Second Highest Salary,second-highest-salary,Medium,43.910051066476335,False,database,database
177,Nth Highest Salary,nth-highest-salary,Medium,38.04493617046972,False,database,database
178,Rank Scores,rank-scores,Medium,65.3360779646843,False,database,database
179,Largest Number,largest-number,Medium,41.3011296834114,False,"array,string,greedy,sorting",algorithms
180,Consecutive Numbers,consecutive-numbers,Medium,46.12056778383318,False,database,database
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,71.54037441294882,False,database,database
182,Duplicate Emails,duplicate-emails,Easy,72.45358910118746,False,database,database
183,Customers Who Never Order,customers-who-never-order,Easy,70.67862403867221,False,database,database
184,Department Highest Salary,department-highest-salary,Medium,54.858290965099364,False,database,database
185,Department Top Three Salaries,department-top-three-salaries,Hard,57.80480781573625,False,database,database
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,56.074403002339146,True,"two-pointers,string",algorithms
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,51.354052601638266,False,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function",algorithms
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,47.15707091533699,False,"array,dynamic-programming",algorithms
189,Rotate Array,rotate-array,Medium,43.051150486999376,False,"array,math,two-pointers",algorithms
190,Reverse Bits,reverse-bits,Easy,63.25642511691115,False,"divide-and-conquer,bit-manipulation",algorithms
191,Number of 1 Bits,number-of-1-bits,Easy,74.54413621522163,False,"divide-and-conquer,bit-manipulation",algorithms
192,Word Frequency,word-frequency,Medium,27.233837647736603,False,shell,shell
193,Valid Phone Numbers,valid-phone-numbers,Easy,27.483350235762753,False,shell,shell
194,Transpose File,transpose-file,Medium,28.507471664389506,False,shell,shell
195,Tenth Line,tenth-line,Easy,34.585883323654535,False,shell,shell
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,64.34018433316228,False,database,database
197,Rising Temperature,rising-temperature,Easy,50.190025295199604,False,database,database
198,House Robber,house-robber,Medium,52.316016958176434,False,"array,dynamic-programming",algorithms
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,67.10539584655845,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
200,Number of Islands,number-of-islands,Medium,62.35540718611088,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,47.75976328161877,False,bit-manipulation,algorithms
202,Happy Number,happy-number,Easy,58.098723020632846,False,"hash-table,math,two-pointers",algorithms
203,Remove Linked List Elements,remove-linked-list-elements,Easy,51.96778099944331,False,"linked-list,recursion",algorithms
204,Count Primes,count-primes,Medium,34.813152426353746,False,"array,math,enumeration,number-theory",algorithms
205,Isomorphic Strings,isomorphic-strings,Easy,46.88568709435847,False,"hash-table,string",algorithms
206,Reverse Linked List,reverse-linked-list,Easy,79.23500604720685,False,"linked-list,recursion",algorithms
207,Course Schedule,course-schedule,Medium,49.27208740294324,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,67.96570366926076,False,"hash-table,string,design,trie",algorithms
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,49.427728318495554,False,"array,binary-search,sliding-window,prefix-sum",algorithms
210,Course Schedule II,course-schedule-ii,Medium,53.45966675472565,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,47.09163996363757,False,"string,depth-first-search,design,trie",algorithms
212,Word Search II,word-search-ii,Hard,37.34539599699151,False,"array,string,backtracking,trie,matrix",algorithms
213,House Robber II,house-robber-ii,Medium,43.58217648021434,False,"array,dynamic-programming",algorithms
214,Shortest Palindrome,shortest-palindrome,Hard,40.68342531963987,False,"string,rolling-hash,string-matching,hash-function",algorithms
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,68.0022310368563,False,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect",algorithms
216,Combination Sum III,combination-sum-iii,Medium,71.92133859024906,False,"array,backtracking",algorithms
217,Contains Duplicate,contains-duplicate,Easy,63.25203261873435,False,"array,hash-table,sorting",algorithms
218,The Skyline Problem,the-skyline-problem,Hard,43.98107759415126,False,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,heap-priority-queue,ordered-set",algorithms
219,Contains Duplicate II,contains-duplicate-ii,Easy,49.081821048698274,False,"array,hash-table,sliding-window",algorithms
220,Contains Duplicate III,contains-duplicate-iii,Hard,23.64641482394894,False,"array,sliding-window,sorting,bucket-sort,ordered-set",algorithms
221,Maximal Square,maximal-square,Medium,48.78916389817653,False,"array,dynamic-programming,matrix",algorithms
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,70.01743651659696,False,"binary-search,bit-manipulation,tree,binary-tree",algorithms
223,Rectangle Area,rectangle-area,Medium,47.38865190537895,False,"math,geometry",algorithms
224,Basic Calculator,basic-calculator,Hard,45.62342148479529,False,"math,string,stack,recursion",algorithms
225,Implement Stack using Queues,implement-stack-using-queues,Easy,67.39973984734881,False,"stack,design,queue",algorithms
226,Invert Binary Tree,invert-binary-tree,Easy,79.04029945220252,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
227,Basic Calculator II,basic-calculator-ii,Medium,45.832870022129924,False,"math,string,stack",algorithms
228,Summary Ranges,summary-ranges,Easy,53.03391240232408,False,array,algorithms
229,Majority Element II,majority-element-ii,Medium,54.4215618399469,False,"array,hash-table,sorting,counting",algorithms
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,75.36145717054379,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
231,Power of Two,power-of-two,Easy,48.39345351040955,False,"math,bit-manipulation,recursion",algorithms
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,68.09500320318304,False,"stack,design,queue",algorithms
233,Number of Digit One,number-of-digit-one,Hard,36.01573332754294,False,"math,dynamic-programming,recursion",algorithms
234,Palindrome Linked List,palindrome-linked-list,Easy,55.900950581286445,False,"linked-list,two-pointers,stack,recursion",algorithms
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,68.35991325678125,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,66.8149039344174,False,"tree,depth-first-search,binary-tree",algorithms
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,82.3496857465862,False,linked-list,algorithms
238,Product of Array Except Self,product-of-array-except-self,Medium,67.79215709797106,False,"array,prefix-sum",algorithms
239,Sliding Window Maximum,sliding-window-maximum,Hard,47.6256121687687,False,"array,queue,sliding-window,heap-priority-queue,monotonic-queue",algorithms
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,55.269679418347295,False,"array,binary-search,divide-and-conquer,matrix",algorithms
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,72.37346582037527,False,"math,string,dynamic-programming,recursion,memoization",algorithms
242,Valid Anagram,valid-anagram,Easy,66.68504328674328,False,"hash-table,string,sorting",algorithms
243,Shortest Word Distance,shortest-word-distance,Easy,65.95365318157543,True,"array,string",algorithms
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,62.1357965752943,True,"array,hash-table,two-pointers,string,design",algorithms
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,59.10501106113853,True,"array,string",algorithms
246,Strobogrammatic Number,strobogrammatic-number,Easy,47.60535682870343,True,"hash-table,two-pointers,string",algorithms
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,53.21504501609915,True,"array,string,recursion",algorithms
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,42.46772363113364,True,"array,string,recursion",algorithms
249,Group Shifted Strings,group-shifted-strings,Medium,67.38680049323614,True,"array,hash-table,string",algorithms
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,57.177291534441075,True,"tree,depth-first-search,binary-tree",algorithms
251,Flatten 2D Vector,flatten-2d-vector,Medium,50.14343893033482,True,"array,two-pointers,design,iterator",algorithms
252,Meeting Rooms,meeting-rooms,Easy,58.95220267879644,True,"array,sorting",algorithms
253,Meeting Rooms II,meeting-rooms-ii,Medium,52.147529134352766,True,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum",algorithms
